"BehaviorSpace results (NetLogo 6.0.1)"
"yellowstone-wolf.nlogo"
"InitialExperiment"
"12/06/2019 12:51:39:851 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","grass-growth-rate","movement-cost","num-of-bison","num-of-moose","num-of-sheep","num-of-wolves","nrg-gain-from-grass","num-of-deer","[step]"
"156","0.2","1","20","15","15","15","1.5","15","3000"
"157","0.2","1","20","15","15","10","2","20","3000"
"164","0.2","1","15","20","20","15","1.5","15","3000"
"160","0.2","1","20","15","15","10","1.5","15","3000"
"161","0.2","1","15","20","20","15","2","20","3000"
"158","0.2","1","20","15","15","10","2","15","3000"
"159","0.2","1","20","15","15","10","1.5","20","3000"
"163","0.2","1","15","20","20","15","1.5","20","3000"
"162","0.2","1","15","20","20","15","2","15","3000"
"183","0.2","1","15","15","20","10","1.5","20","3000"
"165","0.2","1","15","20","20","10","2","20","3000"
"166","0.2","1","15","20","20","10","2","15","3000"
"173","0.2","1","15","20","15","10","2","20","3000"
"171","0.2","1","15","20","15","15","1.5","20","3000"
"168","0.2","1","15","20","20","10","1.5","15","3000"
"169","0.2","1","15","20","15","15","2","20","3000"
"172","0.2","1","15","20","15","15","1.5","15","3000"
"167","0.2","1","15","20","20","10","1.5","20","3000"
"178","0.2","1","15","15","20","15","2","15","3000"
"202","0.2","0.5","20","20","15","15","2","15","526"
"175","0.2","1","15","20","15","10","1.5","20","3000"
"174","0.2","1","15","20","15","10","2","15","3000"
"176","0.2","1","15","20","15","10","1.5","15","3000"
"181","0.2","1","15","15","20","10","2","20","3000"
"179","0.2","1","15","15","20","15","1.5","20","3000"
"177","0.2","1","15","15","20","15","2","20","3000"
"198","0.2","0.5","20","20","20","10","2","15","3000"
"180","0.2","1","15","15","20","15","1.5","15","3000"
"182","0.2","1","15","15","20","10","2","15","3000"
"184","0.2","1","15","15","20","10","1.5","15","3000"
"188","0.2","1","15","15","15","15","1.5","15","3000"
"185","0.2","1","15","15","15","15","2","20","3000"
"187","0.2","1","15","15","15","15","1.5","20","3000"
"186","0.2","1","15","15","15","15","2","15","3000"
"193","0.2","0.5","20","20","20","15","2","20","3000"
"189","0.2","1","15","15","15","10","2","20","3000"
"194","0.2","0.5","20","20","20","15","2","15","3000"
"195","0.2","0.5","20","20","20","15","1.5","20","3000"
"192","0.2","1","15","15","15","10","1.5","15","3000"
"191","0.2","1","15","15","15","10","1.5","20","3000"
"215","0.2","0.5","20","15","20","10","1.5","20","3000"
"196","0.2","0.5","20","20","20","15","1.5","15","3000"
"190","0.2","1","15","15","15","10","2","15","3000"
"197","0.2","0.5","20","20","20","10","2","20","3000"
"199","0.2","0.5","20","20","20","10","1.5","20","3000"
"201","0.2","0.5","20","20","15","15","2","20","3000"
"207","0.2","0.5","20","20","15","10","1.5","20","3000"
"208","0.2","0.5","20","20","15","10","1.5","15","3000"
"204","0.2","0.5","20","20","15","15","1.5","15","3000"
"200","0.2","0.5","20","20","20","10","1.5","15","3000"
"229","0.2","0.5","15","20","20","10","2","20","3000"
"209","0.2","0.5","20","15","20","15","2","20","3000"
"205","0.2","0.5","20","20","15","10","2","20","3000"
"203","0.2","0.5","20","20","15","15","1.5","20","3000"
"212","0.2","0.5","20","15","20","15","1.5","15","3000"
"206","0.2","0.5","20","20","15","10","2","15","3000"
"210","0.2","0.5","20","15","20","15","2","15","3000"
"216","0.2","0.5","20","15","20","10","1.5","15","3000"
"213","0.2","0.5","20","15","20","10","2","20","3000"
"237","0.2","0.5","15","20","15","10","2","20","680"
"211","0.2","0.5","20","15","20","15","1.5","20","3000"
"217","0.2","0.5","20","15","15","15","2","20","3000"
"241","0.2","0.5","15","15","20","15","2","20","475"
"214","0.2","0.5","20","15","20","10","2","15","3000"
"218","0.2","0.5","20","15","15","15","2","15","3000"
"242","0.2","0.5","15","15","20","15","2","15","626"
"220","0.2","0.5","20","15","15","15","1.5","15","3000"
"222","0.2","0.5","20","15","15","10","2","15","3000"
"219","0.2","0.5","20","15","15","15","1.5","20","3000"
"221","0.2","0.5","20","15","15","10","2","20","3000"
"224","0.2","0.5","20","15","15","10","1.5","15","3000"
"223","0.2","0.5","20","15","15","10","1.5","20","3000"
"252","0.2","0.5","15","15","15","15","1.5","15","463"
"239","0.2","0.5","15","20","15","10","1.5","20","3000"
"251","0.2","0.5","15","15","15","15","1.5","20","587"
"227","0.2","0.5","15","20","20","15","1.5","20","3000"
"225","0.2","0.5","15","20","20","15","2","20","3000"
"255","0.2","0.5","15","15","15","10","1.5","20","641"
"226","0.2","0.5","15","20","20","15","2","15","3000"
"228","0.2","0.5","15","20","20","15","1.5","15","3000"
"232","0.2","0.5","15","20","20","10","1.5","15","3000"
"230","0.2","0.5","15","20","20","10","2","15","3000"
"231","0.2","0.5","15","20","20","10","1.5","20","3000"
"233","0.2","0.5","15","20","15","15","2","20","3000"
"234","0.2","0.5","15","20","15","15","2","15","3000"
"235","0.2","0.5","15","20","15","15","1.5","20","3000"
"236","0.2","0.5","15","20","15","15","1.5","15","3000"
"240","0.2","0.5","15","20","15","10","1.5","15","3000"
"246","0.2","0.5","15","15","20","10","2","15","3000"
"247","0.2","0.5","15","15","20","10","1.5","20","3000"
"243","0.2","0.5","15","15","20","15","1.5","20","3000"
"238","0.2","0.5","15","20","15","10","2","15","3000"
"245","0.2","0.5","15","15","20","10","2","20","3000"
"244","0.2","0.5","15","15","20","15","1.5","15","3000"
"250","0.2","0.5","15","15","15","15","2","15","3000"
"249","0.2","0.5","15","15","15","15","2","20","3000"
"248","0.2","0.5","15","15","20","10","1.5","15","3000"
"253","0.2","0.5","15","15","15","10","2","20","3000"
"254","0.2","0.5","15","15","15","10","2","15","3000"
"256","0.2","0.5","15","15","15","10","1.5","15","3000"
